City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Tobermory,CA,45.2501,-81.6665,28.65,66,100,5.46,overcast clouds
210,Te Anau,NZ,-45.4167,167.7167,67.06,38,0,1.83,clear sky
211,Katsuura,JP,35.1333,140.3,59.11,39,0,10.71,clear sky
212,Ganzhou,CN,28.8184,115.4327,65.55,54,3,2.44,clear sky
213,Port-Gentil,GA,-0.7193,8.7815,78.6,83,99,3.8,overcast clouds
214,Magdagachi,RU,53.45,125.8,17.17,40,100,6.98,overcast clouds
215,Roswell,US,34.0232,-84.3616,47.98,68,1,3.44,clear sky
216,Luanda,AO,-8.8368,13.2343,75.2,94,75,8.05,broken clouds
217,Narsaq,GL,60.9167,-46.05,39.42,100,100,0.47,moderate rain
218,Qiryat Shemona,IL,33.2073,35.5721,62.96,43,54,5.3,broken clouds
219,Yaan,NG,7.3833,8.5667,72.97,91,92,4.7,overcast clouds
220,Imbituba,BR,-28.24,-48.6703,73.29,88,76,8.19,broken clouds
221,Kudahuvadhoo,MV,2.6708,72.8944,81.55,71,100,16.31,overcast clouds
222,Ribnica,SI,45.7386,14.7275,43.43,97,97,2.06,moderate rain
223,Letnyaya Stavka,RU,45.4306,43.4472,44.67,70,99,10.09,overcast clouds
224,Askos,GR,40.75,23.3833,41.22,91,25,1.7,scattered clouds
225,Manakara,MG,-22.1333,48.0167,67.86,77,100,7.83,overcast clouds
226,Venancio Aires,BR,-29.6064,-52.1919,65.41,99,64,2.06,broken clouds
227,Bailieborough,IE,53.9167,-6.9667,35.83,96,100,5.41,light rain
228,Saint Anthony,US,45.0205,-93.218,35.44,68,1,10.36,clear sky
229,Lagoa,PT,39.05,-27.9833,61.21,60,97,7.31,overcast clouds
230,Maniitsoq,GL,65.4167,-52.9,36.19,97,100,12.57,moderate rain
231,Gusinoye Ozero,RU,51.1144,106.2614,16.2,76,13,5.99,few clouds
232,Gorontalo,ID,0.5412,123.0595,85.44,77,70,3.36,broken clouds
233,High Level,CA,58.5169,-117.136,19.51,86,90,9.22,overcast clouds
234,Saldanha,ZA,-33.0117,17.9442,63.48,93,88,11.86,overcast clouds
235,Sakakah,SA,29.9697,40.2064,56.77,46,14,4.36,few clouds
236,Cabo San Lucas,MX,22.8909,-109.9124,72.7,77,100,8.08,overcast clouds
237,Chernyshevskiy,RU,63.0128,112.4714,0.16,94,100,7.29,overcast clouds
238,Abashiri,JP,44.0213,144.2697,41.29,65,40,8.05,scattered clouds
239,Coihaique,CL,-45.5752,-72.0662,48.15,66,75,4.61,broken clouds
240,Assiniboia,CA,49.6334,-105.9845,30.11,80,91,5.75,overcast clouds
241,Portsmouth,GB,50.799,-1.0913,34.57,73,48,21.39,scattered clouds
242,Gallup,US,35.5281,-108.7426,28.24,74,1,0.0,clear sky
243,Portobelo,PA,9.55,-79.65,73.81,87,97,7.7,overcast clouds
244,San Luis,AR,-33.295,-66.3356,56.95,89,81,6.46,broken clouds
245,Viedma,AR,-40.8135,-62.9967,60.37,86,100,5.61,overcast clouds
246,Oga,IT,46.4631,10.347,27.68,96,100,6.53,snow
247,Nanortalik,GL,60.1432,-45.2371,42.06,97,100,12.41,light rain
248,Bandarbeyla,SO,9.4942,50.8122,80.65,74,89,16.26,overcast clouds
249,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,63,75,12.66,broken clouds
250,De Aar,ZA,-30.6497,24.0123,59.94,55,3,13.22,clear sky
251,Sorland,NO,67.667,12.6934,34.81,72,100,13.65,light rain
252,Sisimiut,GL,66.9395,-53.6735,27.63,88,100,9.66,light snow
253,Praya,CV,14.9215,-23.5087,75.74,69,40,21.85,scattered clouds
254,Galesong,ID,-5.3166,119.3661,87.82,68,96,6.91,overcast clouds
255,Selikhino,RU,50.3672,137.4996,20.61,87,100,14.18,overcast clouds
256,Poum,NC,-20.2333,164.0167,80.55,76,16,11.86,few clouds
257,Lagos,NG,6.5833,3.75,79.12,93,88,1.03,overcast clouds
258,Beloha,MG,-25.1667,45.05,68.81,47,0,15.35,clear sky
259,Klaksvik,FO,62.2266,-6.589,27.52,62,97,5.19,overcast clouds
260,Iskenderun,TR,36.5872,36.1735,52.63,70,100,8.66,overcast clouds
261,Itoman,JP,26.1247,127.6694,73.42,53,75,18.41,broken clouds
262,Tasiilaq,GL,65.6145,-37.6368,26.76,93,100,6.46,snow
263,Puhja,EE,58.3419,26.3147,26.64,96,100,7.96,light snow
264,Dekar,BW,-21.5333,21.9333,73.33,58,47,9.64,light rain
265,Santa Rosa,PH,14.3122,121.1114,78.78,87,100,6.55,light rain
266,Bend,US,44.0582,-121.3153,58.86,67,1,17.27,clear sky
267,Chokurdakh,RU,70.6333,147.9167,-31.49,99,100,0.67,overcast clouds
268,Iqaluit,CA,63.7506,-68.5145,24.53,58,90,12.66,light snow
269,Tucurui,BR,-3.7661,-49.6725,73.92,95,93,3.13,overcast clouds
270,Zorritos,PE,-3.6805,-80.6782,72.54,77,95,5.79,overcast clouds
271,Baherden,TM,38.4362,57.4316,52.66,41,0,6.08,clear sky
272,Omsukchan,RU,62.5333,155.8,-19.43,97,63,4.5,broken clouds
273,Buala,SB,-8.145,159.5921,84.85,70,73,5.19,light rain
274,Worland,US,44.0169,-107.9554,31.48,69,1,0.0,clear sky
275,Pondicherry,IN,11.93,79.83,79.18,84,100,11.25,moderate rain
276,Bonfim,BR,3.0833,-59.95,76.8,82,80,5.06,broken clouds
277,Totma,RU,59.9747,42.7642,30.97,97,100,7.36,light snow
278,Mahebourg,MU,-20.4081,57.7,84.49,58,20,10.36,few clouds
279,Kloulklubed,PW,7.0419,134.2556,84.7,75,100,14.18,heavy intensity rain
280,Nyzhni Sirohozy,UA,46.8484,34.3804,45.97,93,3,5.82,clear sky
281,Thompson,CA,55.7435,-97.8558,17.76,79,90,9.22,light snow
282,Lavrentiya,RU,65.5833,-171.0,-10.98,94,6,7.25,clear sky
283,Yamada,JP,39.4667,141.95,48.29,47,49,10.38,scattered clouds
284,Shingu,JP,33.7333,135.9833,58.19,48,0,5.39,clear sky
285,Ponta Do Sol,PT,32.6667,-17.1,65.03,76,43,6.31,scattered clouds
286,Porto Murtinho,BR,-21.6989,-57.8825,82.87,62,0,9.04,clear sky
287,Rusape,ZW,-18.5278,32.1284,61.95,66,1,3.11,clear sky
288,Kiboga,UG,0.9161,31.7742,63.5,95,97,1.43,overcast clouds
289,Hohhot,CN,40.8106,111.6522,44.89,42,41,4.47,scattered clouds
290,Ambilobe,MG,-13.2,49.05,82.53,64,25,4.88,scattered clouds
291,Jensen Beach,US,27.2545,-80.2298,62.62,72,19,3.44,few clouds
292,Taywarah,AF,33.35,64.4167,34.09,57,73,2.91,broken clouds
