City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Maydolong,PH,82.22,overcast clouds,11.4992,125.5011,HACIENDA GUITORIA
383,Yulara,AU,85.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
385,Angoche,MZ,78.51,overcast clouds,-16.2325,39.9086,Guest House HESADA
389,Palauig,PH,82.56,overcast clouds,15.435,119.9045,Alperi Botique Resort
394,Aitape,PG,87.17,broken clouds,-3.1374,142.3475,
396,Tumbagaan,PH,84.0,overcast clouds,5.3656,120.3139,
397,Sao Joao De Pirabas,BR,77.27,clear sky,-0.7747,-47.1772,POUSADA SOL E MAR
400,Port Augusta,AU,80.74,few clouds,-32.5,137.7667,Majestic Oasis Apartments
401,Grand Gaube,MU,84.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
403,Axim,GH,78.13,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
406,Morondava,MG,76.46,clear sky,-20.2833,44.2833,La Case Bambou
410,Wewak,PG,85.21,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
411,Marawi,PH,78.51,light rain,7.9986,124.2928,Derogongan Residence
412,Kupang,ID,86.97,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
417,Mandal,IN,75.6,clear sky,25.45,74.5667,पीपी वाले हनुमान जी
418,Cap Malheureux,MU,84.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
425,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
428,Manggar,ID,78.42,overcast clouds,-2.8833,108.2667,Guest Hotel
434,Thai Binh,VN,78.8,broken clouds,20.45,106.3333,Sweden Hotel
448,Atambua,ID,83.68,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
449,Mayumba,GA,75.27,overcast clouds,-3.432,10.6554,LIKWALE LODGE
452,Ratnagiri,IN,83.07,overcast clouds,16.9833,73.3,Hotel Landmark
456,Oussouye,SN,75.29,clear sky,12.485,-16.5469,Auberge du Routard
466,Kuala Lipis,MY,88.16,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
467,Narrabri,AU,77.47,broken clouds,-30.3167,149.7833,Crossroads Hotel
468,Kyabram,AU,79.56,clear sky,-36.3167,145.05,Kyabram Motor Inn
469,Puerto Leguizamo,CO,76.17,overcast clouds,-0.1934,-74.7819,la casona de juancho
473,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
475,Khanu Woralaksaburi,TH,81.61,overcast clouds,16.0617,99.8606,แฟลตตำรวจ บ้านดาบโก ดอกฝิ่น
480,Yeppoon,AU,78.58,few clouds,-23.1333,150.7333,Villa Mar Colina
481,Hervey Bay,AU,77.11,light rain,-25.2986,152.8535,Shelly Bay Resort
485,Saint-Joseph,RE,80.96,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
486,Mahajanga,MG,84.22,moderate rain,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
488,Sa Kaeo,TH,81.86,broken clouds,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
490,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
505,Loa Janan,ID,81.01,overcast clouds,-0.583,117.095,PONDOK COKLAT HATTA CAB. LOA JANAN ILIR
509,Singkawang,ID,78.93,overcast clouds,0.9,109.0,Capital O 1822 Wahana Inn
510,Fomboni,KM,80.08,moderate rain,-12.28,43.7425,Auberge les abou
511,Paracuru,BR,80.62,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
517,Sur,OM,80.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
523,Thinadhoo,MV,82.09,broken clouds,0.5333,72.9333,
533,Torit,SS,78.87,overcast clouds,4.4133,32.5678,Diplomat Guest House
538,Veraval,IN,81.45,overcast clouds,20.9,70.3667,Lords Inn Somnath
543,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
544,Lakatoro,VU,83.64,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
549,Areia Branca,BR,78.57,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
552,Acarau,BR,79.5,broken clouds,-2.8856,-40.12,castelo pizzaria
561,Garissa,KE,75.63,light rain,-0.4536,39.6401,Sharif Plaza Hotel
563,Kulhudhuffushi,MV,80.02,overcast clouds,6.6221,73.07,Haajy Guest House 1
566,Meulaboh,ID,80.58,moderate rain,4.1363,96.1285,Kost Pria
570,The Valley,AI,78.66,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
571,Banda Aceh,ID,78.49,light rain,5.5577,95.3222,Sulthan Hotel International
572,Bima,ID,77.88,light rain,-8.4667,118.7167,Lambitu Hotel
573,Lumphat,KH,84.43,overcast clouds,13.4878,106.9816,Lumphat Homestay
575,Terra Santa,BR,76.33,broken clouds,-2.1042,-56.4869,Hotel Sarah
576,Kahului,US,75.22,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
580,Harper,LR,79.05,scattered clouds,4.375,-7.7169,Screensaver
584,Yarada,IN,79.12,haze,17.65,83.2667,Vishranti
585,Umm Lajj,SA,79.84,clear sky,25.0213,37.2685,Moon light Furnished Units
587,Farias Brito,BR,79.48,scattered clouds,-6.9306,-39.5656,Pousada Boa Vista
600,Jati,PK,81.32,clear sky,24.3539,68.2671,Cafe Lala Rehan Restaurant
610,Gigmoto,PH,80.53,overcast clouds,13.7796,124.39,Cj's Travellers Inn
613,Jerantut,MY,87.08,overcast clouds,3.936,102.3626,Jerantut Hill Resort
619,Tsogni,GA,75.33,overcast clouds,-2.7942,10.0988,
621,Charters Towers,AU,87.82,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
626,Qinzhou,CN,76.5,broken clouds,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
627,Mandera,KE,79.97,broken clouds,3.9366,41.867,Mwalimu Guest mandera
633,Pimenteiras,BR,75.47,broken clouds,-6.2453,-41.4192,Hotel rotativo pimentas
637,Dumai,ID,84.65,overcast clouds,1.6833,101.45,Grand Zuri Dumai
640,Chiang Khong,TH,77.32,scattered clouds,20.2613,100.4046,Chiangkhong Green Inn Resident
643,Nokaneng,BW,77.13,broken clouds,-19.6667,22.2667,
647,Samarai,PG,83.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
649,Hambantota,LK,82.74,overcast clouds,6.1241,81.1185,Bungalow 63
652,Bowen,AU,83.82,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
658,Beira,MZ,77.09,few clouds,-19.8436,34.8389,Beira Terrace Hotel
659,Indapur,IN,82.96,broken clouds,18.3,73.25,Hotel Open Umbrella
662,Usta Muhammad,PK,76.35,clear sky,28.1794,68.0445,Hindu Colony
669,Liku,ID,82.76,overcast clouds,-0.7275,119.8922,Wahyu
679,Kimbe,PG,84.47,light rain,-5.5502,150.1429,Kimbe Bay Hotel
680,Canala,NC,77.49,broken clouds,-21.5333,165.95,Table d’hôte chez Betty
688,Basco,PH,77.79,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
689,Moerai,PF,77.83,light rain,-22.4333,-151.3333,Le Manotel
695,Catuday,PH,84.16,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
697,Jizan,SA,83.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
701,Lamu,KE,80.82,moderate rain,-2.2717,40.902,Lamu House
704,Itarema,BR,80.08,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
707,Puerto Morazan,NI,76.21,overcast clouds,12.8504,-87.1717,Iglesia de Dios de la profecia
709,Labuhan,ID,81.0,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
711,Sharjah,AE,84.18,few clouds,25.3573,55.4033,Swiss Belhotel Sharjah
